Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

  You may contact the writer of this document at: ambientmine AT protonmail DOT com

Banjo, Bass (4-string)

-15 Frets

    4               3               2               1

5   D3   73.41619   A4   110        E4   164.8138   B5   246.9417
6   D#3  77.78175   Bb4  116.5409   F4   174.6141   C5   261.6256
7   E3   82.40689   B4   123.4708   F#4  184.9972   C#5  277.1826
8   F3   87.30706   C4   130.8128   G4   195.9977   D5   293.6648
9   F#3  92.49861   C#4  138.5913   G#4  207.6523   D#5  311.127
10  G3   97.99886   D4   146.8324   A5   220        E5   329.6276
11  G#3  103.8262   D#4  155.5635   Bb5  233.0819   F5   349.2282
12  A4   110        E4   164.8138   B5   246.9417   F#5  369.9944
13  Bb4  116.5409   F4   174.6141   C5   261.6256   G5   391.9954
14  B4   123.4708   F#4  184.9972   C#5  277.1826   G#5  415.3047
15  C4   130.8128   G4   195.9977   D5   293.6648   A6   440
16  C#4  138.5913   G#4  207.6523   D#5  311.127    Bb6  466.1638
17  D4   146.8324   A5   220        E5   329.6276   B6   493.8833
18  D#4  155.5635   Bb5  233.0819   F5   349.2282   C6   523.2511
19  E4   164.8138   B5   246.9417   F#5  369.9944   C#6  554.3653

-2 Frets

    4               3               2               1

0   Bb3  58.27047   F3   87.30706   C4   130.8128   G4   195.9977
1   B3   61.73541   F#3  92.49861   C#4  138.5913   G#4  207.6523
2   C3   65.40639   G3   97.99886   D4   146.8324   A5   220
3   C#3  69.29566   G#3  103.8262   D#4  155.5635   Bb5  233.0819
4   D3   73.41619   A4   110        E4   164.8138   B5   246.9417
5   D#3  77.78175   Bb4  116.5409   F4   174.6141   C5   261.6256
6   E3   82.40689   B4   123.4708   F#4  184.9972   C#5  277.1826
7   F3   87.30706   C4   130.8128   G4   195.9977   D5   293.6648
8   F#3  92.49861   C#4  138.5913   G#4  207.6523   D#5  311.127
9   G3   97.99886   D4   146.8324   A5   220        E5   329.6276
10  G#3  103.8262   D#4  155.5635   Bb5  233.0819   F5   349.2282
11  A4   110        E4   164.8138   B5   246.9417   F#5  369.9944
12  Bb4  116.5409   F4   174.6141   C5   261.6256   G5   391.9954
13  B4   123.4708   F#4  184.9972   C#5  277.1826   G#5  415.3047
14  C4   130.8128   G4   195.9977   D5   293.6648   A6   440
15  C#4  138.5913   G#4  207.6523   D#5  311.127    Bb6  466.1638
16  D4   146.8324   A5   220        E5   329.6276   B6   493.8833
17  D#4  155.5635   Bb5  233.0819   F5   349.2282   C6   523.2511
18  E4   164.8138   B5   246.9417   F#5  369.9944   C#6  554.3653
19  F4   174.6141   C5   261.6256   G5   391.9954   D6   587.3295

-1 Fret

    4               3               2               1

0   B3   61.73541   F#3  92.49861   C#4  138.5913   G#4  207.6523
1   C3   65.40639   G3   97.99886   D4   146.8324   A5   220
2   C#3  69.29566   G#3  103.8262   D#4  155.5635   Bb5  233.0819
3   D3   73.41619   A4   110        E4   164.8138   B5   246.9417
