    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Mandolin (16 Frets) 96Hz, 293.7Hz, 440Hz, 659.3Hz

-15 Frets

    4              3              2              1

3   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
4   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
5   Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
6   B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
7   C4   130.8128  G5   391.9954  D6   587.3295  A7   880
8   C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
9   D4   146.8324  A6   440       E6   659.2551  B7   987.7666
10  D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
11  E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731
12  F4   174.6141  C6   523.2511  G6   783.9909  D7   1174.659
13  F#4  184.9972  C#6  554.3653  G#6  830.6094  D#7  1244.508
14  G4   195.9977  D6   587.3295  A7   880       E7   1318.51
15  G#4  207.6523  D#6  622.254   Bb7  932.3275  F7   1396.913
16  A5   220       E6   659.2551  B7   987.7666  F#7  1479.978

-1 Fret

    4              3              2              1

0   F#3  92.49861  C#5  277.1826  G#5  415.3047  D#6  622.254
1   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
2   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
3   A4   110       E5   329.6276  B6   493.8833  F#6  739.9888
4   Bb4  116.5409  F5   349.2282  C6   523.2511  G6   783.9909
5   B4   123.4708  F#5  369.9944  C#6  554.3653  G#6  830.6094
6   C4   130.8128  G5   391.9954  D6   587.3295  A7   880
7   C#4  138.5913  G#5  415.3047  D#6  622.254   Bb7  932.3275
8   D4   146.8324  A6   440       E6   659.2551  B7   987.7666
9   D#4  155.5635  Bb6  466.1638  F6   698.4565  C7   1046.502
10  E4   164.8138  B6   493.8833  F#6  739.9888  C#7  1108.731
11  F4   174.6141  C6   523.2511  G6   783.9909  D7   1174.659
12  F#4  184.9972  C#6  554.3653  G#6  830.6094  D#7  1244.508
13  G4   195.9977  D6   587.3295  A7   880       E7   1318.51
14  G#4  207.6523  D#6  622.254   Bb7  932.3275  F7   1396.913
15  A5   220       E6   659.2551  B7   987.7666  F#7  1479.978
16  Bb5  233.0819  F6   698.4565  C7   1046.502  G7   1567.982

Standard Tuning

    4              3              2              1

0   G3   97.99886  D5   293.6648  A6   440       E6   659.2551
1   G#3  103.8262  D#5  311.127   Bb6  466.1638  F6   698.4565
